;id;city;country;lon;lat;temp;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;wind_deg;cloudiness;description;datetime
0;1;Kyiv;UA;30.5167;50.4333;0.96;0.96;0.96;0.96;1014;94;0.45;277;39;scattered clouds;1736607065
1;2;Kharkiv;UA;36.25;50.0;Січ.97;-1.17;Січ.97;Січ.97;1014;96;03.Тра;302;100;overcast clouds;1736607186
2;3;Odesa;UA;30.7326;46.4775;Кві.74;Лют.35;Кві.74;Кві.74;1017;52;Лют.79;319;37;scattered clouds;1736607326
3;4;Dnipro;UA;34.9833;48.45;Лют.95;-0.09;Лют.95;Лют.95;1015;74;Бер.17;322;98;light rain;1736607306
4;5;Lviv;UA;24.0232;49.8383;0.05;-5.32;0.05;0.05;1013;66;Тра.86;230;100;overcast clouds;1736607314
5;6;Zaporizhzhia;UA;35.1183;47.8508;04.Тра;0.6;04.Тра;04.Тра;1015;70;Кві.15;335;100;overcast clouds;1736607329
6;7;Kryvyi Rih;UA;33.35;47.9167;03.Вер;Січ.22;03.Вер;03.Вер;1016;62;Лют.96;315;100;overcast clouds;1736607083
7;8;Mykolaiv;UA;23.9852;49.5237;-1.58;-6.49;-1.58;-1.58;1014;76;Кві.37;233;79;broken clouds;1736607187
8;9;Mariupol;UA;37.5;47.0667;06.Чер;Тра.47;06.Чер;06.Чер;1014;91;Січ.76;217;100;light rain;1736607197
9;10;Vinnytsia;UA;28.481;49.2328;0.02;-3.38;0.02;0.02;1015;79;Лют.89;217;10;clear sky;1736607281
10;11;Kherson;UA;32.6178;46.6558;Кві.78;Лют.19;Кві.78;Кві.78;1016;60;03.Лип;323;100;overcast clouds;1736607335
11;12;Chernihiv;UA;32.0;51.0;-0.25;-3.95;-0.25;-0.25;1014;85;Бер.17;217;19;few clouds;1736607336
12;13;Poltava;UA;34.5407;49.5937;Лют.65;-0.78;Лют.65;Лют.65;1015;65;Бер.63;306;100;overcast clouds;1736607337
13;14;Cherkasy;UA;32.0621;49.4285;Січ.17;-2.02;Січ.17;Січ.17;1016;77;Лют.91;268;15;few clouds;1736606580
14;15;Sumy;UA;34.8003;50.9216;02.Гру;-1.84;02.Гру;02.Гру;1014;66;Кві.26;288;100;overcast clouds;1736607340
15;16;Zhytomyr;UA;28.6767;50.2649;-0.46;-4.93;-0.46;-0.46;1014;80;04.Лис;236;23;few clouds;1736607341
16;17;Ivano-Frankivsk;UA;24.7097;48.9215;0.85;-2.59;0.85;0.85;1014;56;Бер.13;252;96;overcast clouds;1736607220
17;18;Ternopil;UA;25.6056;49.5559;-0.69;-4.55;-0.69;-0.69;1014;76;Бер.25;241;82;broken clouds;1736607256
18;19;Rivne;UA;26.2274;50.6231;Січ.15;-3.88;Січ.15;Січ.15;1013;74;Тра.77;236;78;broken clouds;1736607060
19;20;Chernivtsi;UA;25.9403;48.2915;0.5;-3.12;0.5;0.5;1016;60;Бер.26;229;22;few clouds;1736607345
20;21;Kropyvnytskyi;UA;32.2597;48.5132;Січ.57;-1.26;Січ.57;Січ.57;1016;68;02.Чер;288;18;few clouds;1736607346
21;22;Lutsk;UA;25.3424;50.7593;0.55;-2.09;0.55;0.55;1012;89;Лют.24;111;99;overcast clouds;1736607347
